Wavelength (nm)	Raw	1kp	2kp	4kp	4ks
647.0598755	0.145699263	0.022992369	0.336430997	0.839504242	-0.02596714
646.0380859	0.143131599	0.020410793	0.335247904	0.839154482	-0.028588686
645.0160522	0.144770771	0.022679154	0.337059736	0.845207572	-0.02814313
643.9936523	0.150481254	0.023332741	0.342926979	0.849076688	-0.027772885
642.9709473	0.145915017	0.021834111	0.340803027	0.849279881	-0.025074711
641.947937	0.147247881	0.029759834	0.346583426	0.859553814	-0.020217543
641.0708618	0.150098234	0.020307949	0.344264478	0.857393503	-0.025619388
640.0473022	0.150857166	0.021288408	0.343810916	0.859387577	-0.024466228
639.0234375	0.153763443	0.018706668	0.342712045	0.864236653	-0.024619175
637.9993286	0.155524015	0.025351232	0.348063439	0.873060584	-0.02285005
636.9748535	0.154244155	0.024855994	0.352178782	0.873773992	-0.02271682
635.9500732	0.151528701	0.021627339	0.352332056	0.879138529	-0.022193627
635.0714722	0.156778202	0.025197694	0.352528989	0.877307952	-0.022360407
634.0461426	0.15666464	0.020891856	0.352146298	0.887670338	-0.023205817
633.0205688	0.154633462	0.021814568	0.355266631	0.889154732	-0.022144383
631.9946289	0.15365465	0.023544865	0.356890589	0.892229021	-0.021250365
630.9684448	0.159138233	0.022822173	0.354301989	0.894671083	-0.024159046
629.9418945	0.15793331	0.023882005	0.358891279	0.897457004	-0.019513471
629.0618286	0.156827331	0.021513842	0.357310385	0.898987889	-0.019389216
628.034729	0.161903411	0.024786158	0.363185704	0.906356752	-0.019632991
627.0073853	0.160105035	0.022938767	0.3610183	0.909396231	-0.020690158
625.9797363	0.156739682	0.024427338	0.363093674	0.913555265	-0.019517234
624.9517822	0.153876424	0.025966395	0.365344822	0.920987904	-0.017545365
624.0704346	0.165522397	0.024949063	0.365572542	0.922765315	-0.020350257
623.0419312	0.161969796	0.024082687	0.362766832	0.923213065	-0.017474504
622.0131836	0.161026001	0.025274072	0.365848273	0.926999629	-0.015447255
620.9840698	0.164752618	0.024176767	0.368819445	0.930774748	-0.014261368
619.9547119	0.170962289	0.022789409	0.367058367	0.935505629	-0.017057167
619.0721436	0.165145606	0.023459282	0.369077802	0.940677404	-0.01589549
618.0422363	0.16580306	0.023620624	0.370386511	0.942377329	-0.012914713
617.0120239	0.167080373	0.026509069	0.370405883	0.945916414	-0.014743908
615.9815063	0.168227702	0.024011005	0.372343451	0.94918716	-0.012066988
614.9507446	0.168590918	0.024277082	0.36785239	0.948781073	-0.01472359
614.0669556	0.173766464	0.024772234	0.373473853	0.953735173	-0.011671131
613.0356445	0.167629898	0.02476996	0.372472942	0.956180334	-0.011574959
612.0040283	0.175805211	0.025111264	0.372160465	0.959907353	-0.01198979
610.9721069	0.174504265	0.027815364	0.375974149	0.967088938	-0.01298019
609.9399414	0.171981067	0.031299464	0.380510241	0.969818711	-0.007184027
609.0549316	0.176225811	0.02419379	0.37530762	0.966357589	-0.014997106
608.0222168	0.172174931	0.023581404	0.374801368	0.972451747	-0.013403119
606.9891968	0.178125009	0.028038967	0.37878421	0.97479111	-0.01252818
605.9559326	0.176344559	0.019094491	0.376858711	0.976308823	-0.011775899
605.0700073	0.17354548	0.024282502	0.3784374	0.980819643	-0.010813247
604.0361328	0.175394669	0.023005033	0.380730629	0.983510077	-0.012203475
603.0020142	0.178691238	0.026053134	0.380244404	0.986307383	-0.010539053
601.9676514	0.179622531	0.023582196	0.37903145	0.991522849	-0.008993199
600.9329834	0.179410845	0.0258472	0.380310923	0.992574453	-0.008088487
600.0458374	0.181194186	0.02557895	0.383233935	0.995348632	-0.00745943
599.0106201	0.179612279	0.023490895	0.383347809	1.000943184	-0.008410648
597.9751587	0.185418904	0.025195938	0.383517653	1.002796769	-0.010210074
596.9393921	0.181837067	0.024947144	0.384660721	1.003677368	-0.006455121
596.0513306	0.184186339	0.02770769	0.388168871	1.009520054	-0.003078656
595.0150146	0.183605567	0.026989339	0.387407005	1.013440847	-0.001670363
593.9784546	0.183023974	0.024599534	0.384276182	1.01348877	-0.005899389
592.9415894	0.185274527	0.027440524	0.386931419	1.017927051	-0.003721426
592.0526123	0.190124437	0.023395734	0.384166807	1.020955563	-0.006676235
591.0152588	0.184146226	0.025192536	0.387778342	1.022560239	-0.005094185
589.9776001	0.190360233	0.027837278	0.390560806	1.026658177	-0.001855059
588.9396973	0.187706858	0.019866603	0.38639155	1.03035593	-0.004654376
588.0498047	0.19025588	0.023674583	0.389843881	1.034270287	-0.001145805
587.0113525	0.189828098	0.025156574	0.392800719	1.034815311	-0.000741621
585.9725952	0.191325903	0.02329188	0.394087344	1.040951014	-0.00186207
584.9335938	0.195888475	0.029292636	0.40143463	1.050886989	0.002017416
584.0427856	0.192282945	0.03016923	0.398695588	1.053889036	0.000242516
583.0032959	0.195668414	0.025122672	0.397434801	1.046854496	0.000919588
581.963501	0.199156761	0.023704572	0.39870432	1.055852532	0.002964095
581.0720215	0.197302595	0.028774465	0.399488449	1.055282354	0.003679312
580.0317383	0.196218923	0.025623541	0.400658131	1.060734987	0.001711999
578.9911499	0.191647172	0.024792323	0.398877382	1.063632011	0.002263273
577.9503174	0.197269008	0.022723667	0.399686813	1.062588096	0.003436566
577.0579224	0.201229572	0.023622347	0.400192797	1.065876722	0.000446737
576.0166016	0.199025914	0.021768732	0.39713034	1.071689725	0.001968553
574.9749756	0.195645675	0.027977452	0.404922456	1.07376349	0.007710381
573.9330444	0.198401541	0.024949256	0.401427209	1.07574892	0.004133432
573.0397949	0.205232009	0.025179205	0.405300409	1.080723405	0.007025225
571.9973755	0.19847472	0.022601649	0.402444273	1.084065557	0.004578845
570.9547119	0.200958595	0.022969034	0.401809931	1.080196738	0.003876067
570.060791	0.204067588	0.024974726	0.4048495	1.085708261	0.004703255
569.0176392	0.208224744	0.028201111	0.404710978	1.090245843	0.009124971
567.9741821	0.205639884	0.022809707	0.403838247	1.091809511	0.008243287
566.930481	0.206418678	0.023488244	0.405671775	1.099341631	0.007574676
566.0357056	0.205033541	0.026422296	0.40423891	1.095906496	0.010520553
564.9914551	0.209223419	0.027444245	0.407839686	1.100568891	0.013549358
563.9470215	0.2060045	0.025150074	0.405448973	1.106117129	0.010557975
563.0515747	0.209692568	0.025803793	0.407136887	1.109883666	0.012973764
562.0065918	0.211971894	0.02267411	0.404773474	1.105111957	0.010596223
560.9613647	0.21161437	0.025809206	0.406455398	1.10948205	0.016107704
560.0652466	0.21442689	0.024428735	0.406331271	1.111601472	0.01488965
559.0195313	0.218067169	0.026347062	0.406013608	1.111792684	0.014856084
557.9735718	0.218046472	0.028178737	0.410242826	1.118559957	0.019297032
556.9273071	0.220279515	0.026481362	0.409541488	1.118900061	0.018161746
556.0303345	0.217719257	0.028387934	0.410088778	1.122653961	0.019934677
554.9835815	0.221822202	0.026733762	0.410190821	1.127983928	0.017371885
553.9365845	0.223156825	0.025602316	0.410160035	1.125987053	0.018866308
553.0389404	0.222292647	0.022754764	0.406034291	1.127125621	0.015772354
551.9915161	0.218149632	0.025764266	0.41024679	1.130052924	0.02044023
550.9437256	0.22320953	0.028816232	0.4101668	1.131785393	0.018492626
550.0454712	0.221644849	0.026415555	0.408005238	1.134013534	0.016794598
548.9972534	0.22853218	0.026737342	0.410989702	1.135418415	0.020819206
547.9487915	0.228321284	0.027308408	0.411647618	1.14049077	0.019379579
547.0498657	0.225396752	0.024019457	0.40938887	1.139992237	0.020065842
546.0009155	0.228348598	0.023720538	0.408644855	1.141188145	0.020408621
544.9517212	0.230825886	0.025212096	0.410765976	1.144724488	0.022581663
544.0521851	0.236241475	0.018391639	0.407515764	1.142344832	0.020438088
543.0025024	0.229117692	0.024076037	0.411548197	1.151196361	0.024129314
541.9525757	0.228641152	0.025647733	0.412360579	1.153205872	0.018954642
541.0523682	0.225288495	0.027193913	0.413523287	1.156280756	0.024377091
540.0019531	0.22843568	0.027026912	0.415235102	1.158434868	0.025561735
538.9512939	0.22412011	0.026662495	0.414708108	1.16180861	0.024848018
538.0505371	0.229276136	0.025930231	0.41204226	1.159677982	0.023849515
536.9993286	0.237968177	0.024397627	0.41285634	1.163326025	0.027609697
535.947937	0.229095101	0.02615886	0.412421137	1.166905999	0.022100847
535.0465698	0.230569318	0.026559563	0.412551701	1.16482079	0.028778061
533.9946899	0.235075533	0.024265831	0.412696391	1.166785121	0.024053466
532.9425659	0.225410894	0.023600016	0.412624419	1.170783997	0.026892196
532.0405273	0.23425588	0.02777604	0.414680153	1.173399448	0.028490083
530.9879761	0.238966316	0.026113883	0.415503174	1.174221277	0.027313342
529.9351196	0.237962708	0.023847001	0.412524521	1.173545599	0.027396545
529.0324707	0.243074	0.025535708	0.41703096	1.178262591	0.02946608
527.979187	0.228381932	0.028087899	0.415596753	1.180412054	0.03013166
526.9256592	0.235936403	0.027572183	0.412389487	1.179707885	0.02983566
